Rank,Release Group,Worldwide,Domestic,%,Foreign,%
94,Ghostbusters 2020 Re-release,"$620,883","$605,000",97.4%,"$15,883",2.6%
95,Seberg,"$585,845","$434,702",74.2%,"$151,143",25.8%
96,Palm Springs,"$554,559","$164,000",29.6%,"$390,559",70.4%
97,Followed,"$548,608","$538,179",98.1%,"$10,429",1.9%
98,Beauty and the Beast 2020 Re-release,"$543,260","$467,000",86%,"$76,260",14%
99,Once Were Brothers: Robbie Robertson and the Band,"$535,638","$449,561",83.9%,"$86,077",16.1%
100,The Big Ugly,"$515,399","$514,107",99.7%,"$1,292",0.3%
101,Black Panther 2020 Re-release,"$513,326","$367,000",71.5%,"$146,326",28.5%
102,The Burnt Orange Heresy,"$499,391","$144,201",28.9%,"$355,190",71.1%
103,True History of the Kelly Gang,"$467,198","$33,817",7.2%,"$433,381",92.8%
104,Inside Out 2020 Re-release,"$460,176","$460,000",100%,$176,<0.1%
105,Shortcut,"$442,975","$442,975",100%,-,-
106,CatVideoFest 2020,"$437,625","$437,625",100%,-,-
107,Iron Man 2020 Re-release,"$430,000","$430,000",100%,-,-
108,Infamous,"$429,148","$429,148",100%,-,-
109,The Climb,"$413,161",-,-,"$413,161",100%
110,Back to the Future 2020 Re-release,"$407,977","$247,000",60.5%,"$160,977",39.5%
111,Alone,"$379,978","$352,941",92.9%,"$27,037",7.1%
112,The Last Shift,"$364,337","$364,337",100%,-,-
113,Tulsa,"$343,913","$343,913",100%,-,-
114,Summerland,"$333,379","$58,498",17.5%,"$274,881",82.5%
115,She Dies Tomorrow,"$331,796","$331,796",100%,-,-
116,Burden,"$327,838","$139,270",42.5%,"$188,568",57.5%
117,Fatima,"$317,981",-,-,"$317,981",100%
118,Bohemian Rhapsody 2020 Re-release,"$307,919","$240,000",77.9%,"$67,919",22.1%
119,Kajillionaire,"$304,440","$304,440",100%,-,-
120,Gremlins 2020 Re-release,"$295,159","$295,000",99.9%,$159,<0.1%
121,Resistance,"$282,228","$7,464",2.6%,"$274,764",97.4%
122,Created Equal: Clarence Thomas in His Own Words,"$282,149","$282,149",100%,-,-
123,Swallow,"$274,259","$33,419",12.2%,"$240,840",87.8%
124,An American in Paris 2020 Re-release,"$267,824","$267,824",100%,-,-
125,Never Rarely Sometimes Always,"$262,247","$16,565",6.3%,"$245,682",93.7%
126,Archive,"$237,906","$139,593",58.7%,"$98,313",41.3%
127,Tokyo Godfathers 2020 Re-release,"$237,571","$237,571",100%,-,-
128,Blind Eyes Opened,"$234,505","$234,505",100%,-,-
129,The Trip to Greece,"$233,014","$8,340",3.6%,"$224,674",96.4%
130,Doctor Who Live Q&A And Screening,"$228,615","$228,615",100%,-,-
131,Tesla,"$210,613","$92,276",43.8%,"$118,337",56.2%
132,The Secrets We Keep,"$209,784","$198,711",94.7%,"$11,073",5.3%
133,The Doors: Break On Thru - A Celebration Of Ray Manzarek,"$190,160","$190,160",100%,-,-
134,The Nest,"$173,903","$129,213",74.3%,"$44,690",25.7%
135,Cruel Peter,"$163,925",-,-,"$163,925",100%
136,The Booksellers,"$157,726","$25,694",16.3%,"$132,032",83.7%
137,Love Story 50th Anniversary,"$153,504","$153,504",100%,-,-
138,Wendy,"$144,564","$143,518",99.3%,"$1,046",0.7%
139,Incitement,"$140,306","$140,306",100%,-,-
140,We Summon the Darkness,"$140,105","$60,794",43.4%,"$79,311",56.6%
141,Most Wanted,"$138,000","$138,000",100%,-,-
142,Beneath Us,"$137,260","$137,260",100%,-,-
143,The Times of Bill Cunningham,"$134,288","$134,288",100%,-,-
144,Only,"$125,603",-,-,"$125,603",100%
145,Shirley,"$124,318",-,-,"$124,318",100%
146,"14 Days, 12 Nights","$122,806","$122,530",99.8%,$276,0.2%
147,Come to Daddy,"$117,947","$96,713",82%,"$21,234",18%
148,Irresistible,"$112,541",-,-,"$112,541",100%
149,Lucky Grandma,"$102,000","$102,000",100%,-,-
150,First Cow,"$101,068","$101,068",100%,-,-
151,Miss Juneteenth,"$100,947","$92,349",91.5%,"$8,598",8.5%
152,The Silencing,"$100,746","$100,746",100%,-,-
153,First Lady,"$93,298","$93,298",100%,-,-
154,The Roads Not Taken,"$92,475","$3,518",3.8%,"$88,957",96.2%
155,Young Ahmed Domestic,"$83,470","$21,291",25.5%,"$62,179",74.5%
156,On the Basis of Sex 2020 Re-release,"$82,150","$82,150",100%,-,-
157,Come and See 2020 Re-release,"$71,909","$71,909",100%,-,-
158,How to Build a Girl,"$70,632","$70,632",100%,-,-
159,Nick Mason's Saucerful of Secrets: Live at the Roundhouse,"$69,967","$32,444",46.4%,"$37,523",53.6%
160,Saint Frances,"$59,257","$44,330",74.8%,"$14,927",25.2%
161,My Brothers' Crossing,"$56,294","$56,294",100%,-,-
162,A Simple Wedding,"$54,415","$54,415",100%,-,-
163,Miss Fisher & the Crypt of Tears (special screenings),"$51,158","$51,032",99.8%,$126,0.2%
164,House of Cardin,"$50,659",-,-,"$50,659",100%
165,The Way I See It,"$49,030","$49,030",100%,-,-
166,VHYes,"$47,037","$47,037",100%,-,-
167,Enter the Fat Dragon,"$46,855","$46,855",100%,-,-
168,Spree,"$43,062","$28,771",66.8%,"$14,291",33.2%
169,Juvenile Delinquents,"$39,455","$34,292",86.9%,"$5,163",13.1%
170,Three Christs,"$36,723","$36,723",100%,-,-
171,Tread,"$36,527","$36,527",100%,-,-
172,Waiting for Anya,"$36,404",-,-,"$36,404",100%
173,RBG 2020 Re-release,"$34,000","$34,000",100%,-,-
174,Max Winslow and the House of Secrets,"$31,250","$31,250",100%,-,-
175,Rent-A-Pal,"$30,901","$30,901",100%,-,-
176,After Parkland,"$30,444","$30,444",100%,-,-
177,Olympic Dreams,"$29,450","$29,450",100%,-,-
178,Buffaloed,"$29,118","$29,118",100%,-,-
179,Abe,"$28,657",-,-,"$28,657",100%
180,Cane River 2020 Re-release,"$27,317","$27,317",100%,-,-
181,José,"$26,563","$26,563",100%,-,-
182,Unsubscribe,"$25,488","$25,488",100%,-,-
183,Disappearance at Clifton Hill,"$25,084","$25,084",100%,-,-
184,Stage Mother,"$24,736",-,-,"$24,736",100%
185,Heart of Africa,"$24,139","$24,139",100%,-,-
186,"Phoenix, Oregon","$23,613","$23,613",100%,-,-
187,Never Too Late,"$23,135",-,-,"$23,135",100%
188,Premature,"$23,071","$23,071",100%,-,-
189,L'Innocente,"$22,549","$22,549",100%,-,-
190,Lore,"$20,006","$20,006",100%,-,-
191,Foster Boy,"$19,046","$19,046",100%,-,-
192,Sputnik,"$18,853","$18,853",100%,-,-
193,Made in Hong Kong,"$17,843","$17,843",100%,-,-
194,Pandora and the Flying Dutchman 2020 Re-release,"$17,401","$17,401",100%,-,-
195,Advocate,"$16,942","$16,942",100%,-,-
196,Centigrade,"$16,263","$16,263",100%,-,-
197,Straight Up,"$16,080","$16,080",100%,-,-
198,The Bay of Silence,"$15,889","$1,941",12.2%,"$13,948",87.8%
199,American Deep State,"$15,269","$15,269",100%,-,-
200,"I Was at Home, But...","$14,078","$14,078",100%,-,-
201,Killer Raccoons! 2! Dark Christmas in the Dark!,"$12,382","$12,382",100%,-,-
202,The Grizzlies,"$11,650","$11,650",100%,-,-
203,Powerbomb,"$11,319","$11,319",100%,-,-
204,Lost in America,"$11,301","$11,301",100%,-,-
205,You Go to My Head,"$10,682","$10,682",100%,-,-
206,Guest Artist,"$10,017","$10,017",100%,-,-
207,Foosballers,"$9,966","$9,966",100%,-,-
208,Just One More Kiss,"$9,130","$9,130",100%,-,-
209,Inside the Rain,"$8,140","$8,140",100%,-,-
210,Draupadi Unleashed,"$8,111","$8,111",100%,-,-
211,The Wave,"$8,101","$8,101",100%,-,-
212,I AM PATRICK,"$7,880",-,-,"$7,880",100%
213,Valley Girl,"$7,671",-,-,"$7,671",100%
214,What We Found,"$6,976","$6,976",100%,-,-
215,The Other Lamb,"$6,760","$6,024",89.1%,$736,10.9%
216,Human Capital,"$6,596","$6,596",100%,-,-
217,Dreaming Grand Avenue,"$6,559","$6,559",100%,-,-
218,Afterward,"$6,477","$6,477",100%,-,-
219,In the Life of Music,"$5,772","$5,772",100%,-,-
220,Sex and the Future,"$5,745","$5,745",100%,-,-
221,Still Here,"$5,268","$5,268",100%,-,-
222,King's Gambit,"$3,816","$3,816",100%,-,-
223,Find Your Voice,"$3,429","$3,429",100%,-,-
224,Lie Exposed,"$2,957","$2,957",100%,-,-
225,Ottolenghi and the Cakes of Versailles,"$2,857","$2,857",100%,-,-
226,Moondance,"$2,371","$2,371",100%,-,-
227,Detective Chinatown 3,"$2,342",-,-,"$2,342",100%
228,Goldie,"$2,302","$2,302",100%,-,-
229,Gul Makai,"$2,035",-,-,"$2,035",100%
230,The Fox Hunter,"$1,577","$1,577",100%,-,-
231,The Transcendents,"$1,426","$1,426",100%,-,-
232,Fear Pharm,"$1,157","$1,157",100%,-,-
233,Hai Tang Hong,"$1,107","$1,107",100%,-,-
234,Greater 2020 Re-release,$527,$527,100%,-,-
235,Spaceship Earth,$362,-,-,$362,100%
